TIME,DATA_VALUE,retrieved_at
19961121,12.23,2026-08-24
19961122,12.3,2026-08-24
19961123,12.3,2026-08-24
19961125,12.48,2026-08-24
19961126,12.43,2026-08-24
19961127,12.33,2026-08-24
19961128,12.22,2026-08-24
19961129,12.3,2026-08-24
19961130,12.28,2026-08-24
19961202,12.3,2026-08-24
19961203,12.38,2026-08-24
19961204,12.43,2026-08-24
19961205,12.59,2026-08-24
19961206,12.65,2026-08-24
19961207,12.65,2026-08-24
19961209,12.52,2026-08-24
19961210,12.52,2026-08-24
19961211,12.57,2026-08-24
19961212,12.54,2026-08-24
19961213,12.5,2026-08-24
19961214,12.48,2026-08-24
19961216,12.48,2026-08-24
19961217,12.55,2026-08-24
19961218,12.6,2026-08-24
19961219,12.62,2026-08-24
19961220,12.6,2026-08-24
19961221,12.6,2026-08-24
19961223,12.58,2026-08-24
19961224,12.63,2026-08-24
19961226,12.7,2026-08-24
19961227,12.7,2026-08-24
19961228,12.7,2026-08-24
19961230,12.67,2026-08-24
19961231,12.6,2026-08-24
19970103,12.42,2026-08-24
19970104,12.42,2026-08-24
19970106,12.45,2026-08-24
19970107,12.45,2026-08-24
19970108,12.4,2026-08-24
19970109,12.25,2026-08-24
19970110,12.25,2026-08-24
19970111,12.3,2026-08-24
19970113,12.25,2026-08-24
19970114,12.23,2026-08-24
19970115,12.22,2026-08-24
19970116,12.08,2026-08-24
19970117,12.01,2026-08-24
19970118,11.95,2026-08-24
19970120,11.85,2026-08-24
19970121,12.02,2026-08-24
19970122,12.05,2026-08-24
19970123,12.02,2026-08-24
19970124,12.08,2026-08-24
19970125,12.06,2026-08-24
19970127,12.07,2026-08-24
19970128,12.02,2026-08-24
19970129,11.97,2026-08-24
19970130,11.97,2026-08-24
19970131,12,2026-08-24
19970201,12,2026-08-24
19970203,12,2026-08-24
19970204,12,2026-08-24
19970205,12,2026-08-24
19970206,12,2026-08-24
19970210,11.93,2026-08-24
19970211,11.9,2026-08-24
19970212,11.95,2026-08-24
19970213,12.02,2026-08-24
19970214,12.02,2026-08-24
19970215,12.02,2026-08-24
19970217,12.1,2026-08-24
19970218,12.25,2026-08-24
19970219,12.3,2026-08-24
19970220,12.32,2026-08-24
19970221,12.45,2026-08-24
19970222,12.44,2026-08-24
19970224,12.4,2026-08-24
19970225,12.37,2026-08-24
19970226,12.38,2026-08-24
19970227,12.38,2026-08-24
19970228,12.4,2026-08-24
19970303,12.43,2026-08-24
19970304,12.45,2026-08-24
19970305,12.44,2026-08-24
19970306,12.5,2026-08-24
19970307,12.53,2026-08-24
19970308,12.55,2026-08-24
19970310,12.7,2026-08-24
19970311,12.7,2026-08-24
19970312,12.7,2026-08-24
19970313,12.7,2026-08-24
19970314,12.65,2026-08-24
19970315,12.57,2026-08-24
19970317,12.65,2026-08-24
19970318,12.75,2026-08-24
19970319,12.85,2026-08-24
19970320,12.85,2026-08-24
19970321,12.88,2026-08-24
19970322,12.89,2026-08-24
19970324,13,2026-08-24
19970325,12.98,2026-08-24
19970326,12.85,2026-08-24
19970327,12.73,2026-08-24
19970328,12.68,2026-08-24
19970329,12.66,2026-08-24
19970331,12.5,2026-08-24
19970401,12.48,2026-08-24
19970402,12.5,2026-08-24
19970403,12.5,2026-08-24
19970407,12.55,2026-08-24
19970408,12.5,2026-08-24
19970409,12.47,2026-08-24
19970410,12.47,2026-08-24
19970411,12.45,2026-08-24
19970412,12.47,2026-08-24
19970414,12.47,2026-08-24
19970415,12.5,2026-08-24
19970416,12.55,2026-08-24
19970417,12.6,2026-08-24
19970418,12.53,2026-08-24
19970419,12.43,2026-08-24
19970421,12.43,2026-08-24
19970422,12.43,2026-08-24
19970423,12.5,2026-08-24
19970424,12.52,2026-08-24
19970425,12.52,2026-08-24
19970426,12.5,2026-08-24
19970428,12.5,2026-08-24
19970429,12.52,2026-08-24
19970430,12.5,2026-08-24
19970502,12.5,2026-08-24
19970503,12.5,2026-08-24
19970506,12.48,2026-08-24
19970507,12.48,2026-08-24
19970508,12.45,2026-08-24
19970509,12.33,2026-08-24
19970510,12.28,2026-08-24
19970512,12.28,2026-08-24
19970513,12.3,2026-08-24
19970515,12.25,2026-08-24
19970516,12.2,2026-08-24
