,3Y realised21,3Y GARCH,10Y realised21,10Y GARCH
2022-02-08,4.812859757734375,4.492700447834285,4.762447350040179,4.277382458333367
2022-02-09,4.394347017963607,4.7054288864944285,4.312247232067773,4.674839530955976
2022-02-10,4.418661723709041,4.5577934840487035,4.233455191346998,4.64301004786515
2022-02-11,4.67764185603529,4.3487510645648655,4.3297970919135285,4.500237958546954
2022-02-14,4.619049582719262,4.887532816248132,4.34187802245811,4.5650987456296335
2022-02-15,4.475728192947245,4.6671924052197875,4.024567412423708,4.427057575592445
2022-02-16,4.491022791557139,4.451910153074894,3.983955918669879,4.309205859135719
2022-02-17,4.310673353654243,4.342434553011673,3.7641036370530783,4.1919698187062115
2022-02-18,3.8688007247232323,4.227785140988453,3.1747890818581497,4.069053381116324
2022-02-21,3.792819029491939,4.12192402012949,3.1282430790948417,3.9872050629742732
2022-02-22,3.7599392092350143,4.124858507562865,3.375887890262218,3.969757404049726
2022-02-23,3.707084594459125,4.08162784866449,3.3560818992220303,4.055757355331887
2022-02-24,4.337335148507224,3.900116836478187,4.084377903321739,3.937246279579836
2022-02-25,4.331237588451947,4.7821865252939375,4.192084377558669,4.585983470815904
2022-02-28,4.194111518375665,4.602455525835777,4.173641780781591,4.60231512840328
2022-03-02,4.436880070714642,4.380444875499678,4.493270099880066,4.484351117783978
2022-03-03,4.336577540169757,4.650546544675649,4.593758705855055,4.725157752775773
2022-03-04,4.3260231379959375,4.53957878059645,4.62408292066037,4.86688153939454
2022-03-07,4.567217554537573,4.336674939687499,4.702481614353576,4.776735768500781
2022-03-08,4.542943245665008,4.8444081440673274,4.645171584303331,4.834490534611544
2022-03-10,4.383328806805551,4.608193195690638,4.595650117230432,4.70000381479766
2022-03-11,4.183954611426392,4.396272585797398,4.242186094119745,4.556233649871931
2022-03-14,4.213894251390835,4.247511336660671,4.259801023745692,4.46563941181479
2022-03-15,4.207448044553731,4.176949821514586,4.259577443831733,4.477347436349247
2022-03-16,3.785750224447555,3.977775061180486,4.15281889346319,4.342635823723378
2022-03-17,3.8823471055044774,3.8272366421321,4.4628839704089796,4.27930502474681
2022-03-18,3.8986261316373563,3.951461760558771,4.498655883917421,4.544281055973468
2022-03-21,3.99680825040133,3.7776009606328036,4.489225195637097,4.466153471026539
2022-03-22,4.816835554791618,3.8493649095650952,4.877431017793423,4.333648189911347
2022-03-23,4.800793585191824,5.3983920469681905,4.888548328686628,4.770079869422737
2022-03-24,4.829004629764361,5.171234655723344,4.951728894802211,4.6450483134960106
2022-03-25,4.847625830288073,5.137919952351129,4.7962634265793715,4.684234232467037
2022-03-28,7.317718223599482,5.166403774747065,5.870511456585774,4.560340688503094
2022-03-29,7.240622835614283,9.646837046897739,5.775650860045378,6.051784568794989
2022-03-30,7.528545676291007,9.544390729783865,5.985605749669473,6.286293732643579
2022-03-31,7.537790506128816,9.342234584678929,6.1749763832207,6.302840914858273
2022-04-01,7.577422604905532,8.967084915099788,5.869850326638908,6.427949002179468
2022-04-04,7.577673974059774,9.32295722982309,5.78327638231874,6.302266774003356
2022-04-05,7.581773256586201,8.911068980187734,5.695829719231097,6.152675635935788
2022-04-06,7.50443995562754,8.78666869127596,5.643268218902605,6.032168519867534
2022-04-07,7.593383711526518,8.395271304200376,5.651068167043415,5.8785483550971875
2022-04-08,7.735043940528381,8.026884555352002,5.766099614289086,5.691880939901914
2022-04-11,8.58720809443575,8.380613429333048,6.189337990601643,5.821244768855182
2022-04-12,9.314584058908705,10.557659510046573,6.237810971349303,6.646639790732797
2022-04-13,9.705685618921175,10.705829513413985,6.267265675525418,6.435993193055422
2022-04-14,10.28603306384323,10.552872521751613,6.803276521542503,6.231178562340391
