,KTB_3Y_bp,KTB_10Y_bp,slope_10y_3y_bp
2022-03-15,228.2,274.5,46.30000000000001
2022-03-16,226.5,277.5,51.0
2022-03-17,221.70000000000002,270.2,48.49999999999997
2022-03-18,222.7,273.09999999999997,50.39999999999998
2022-03-21,227.00000000000003,273.8,46.79999999999998
2022-03-22,239.5,282.7,43.19999999999999
2022-03-23,241.5,280.9,39.39999999999998
2022-03-24,246.20000000000002,286.0,39.79999999999998
2022-03-25,251.50000000000003,287.7,36.19999999999996
2022-03-28,277.70000000000005,304.0,26.299999999999955
2022-03-29,269.20000000000005,295.0,25.799999999999955
2022-03-30,262.0,288.5,26.5
2022-03-31,266.2,296.5,30.30000000000001
2022-04-01,278.2,300.5,22.30000000000001
2022-04-04,281.5,303.7,22.19999999999999
2022-04-05,289.0,307.50000000000006,18.500000000000057
2022-04-06,292.0,310.2,18.19999999999999
2022-04-07,289.0,310.7,21.69999999999999
2022-04-08,300.0,318.09999999999997,18.099999999999966
2022-04-11,321.9,332.0,10.100000000000023
2022-04-12,310.0,331.0,21.0
2022-04-13,301.0,330.2,29.19999999999999
2022-04-14,288.20000000000005,320.7,32.49999999999994
2022-04-15,295.29999999999995,332.0,36.700000000000045
2022-04-18,300.0,335.30000000000007,35.30000000000007
2022-04-19,295.5,332.5,37.0
2022-04-20,295.0,330.50000000000006,35.50000000000006
2022-04-21,294.49999999999994,331.0,36.50000000000006
2022-04-22,296.0,330.50000000000006,34.50000000000006
2022-04-25,285.7,317.7,32.0
2022-04-26,282.7,318.0,35.30000000000001
2022-04-27,290.0,318.69999999999993,28.699999999999932
2022-04-28,292.0,316.00000000000006,24.000000000000057
2022-04-29,296.0,323.49999999999994,27.499999999999943
2022-05-02,310.0,339.1,29.100000000000023
2022-05-03,314.2,340.70000000000005,26.500000000000057
2022-05-04,317.5,342.79999999999995,25.299999999999955
2022-05-06,314.5,342.0,27.5
2022-05-09,307.2,342.0,34.80000000000001
2022-05-10,305.5,341.0,35.5
2022-05-11,291.7,325.99999999999994,34.299999999999955
2022-05-12,290.5,317.5,27.0
2022-05-13,292.20000000000005,323.0,30.799999999999955
2022-05-16,303.5,326.7,23.19999999999999
2022-05-17,302.5,327.99999999999994,25.499999999999943
2022-05-18,305.0,331.5,26.5
2022-05-19,304.7,330.70000000000005,26.000000000000057
2022-05-20,300.5,324.00000000000006,23.500000000000057
2022-05-23,302.5,326.20000000000005,23.700000000000045
2022-05-24,296.0,320.2,24.19999999999999
2022-05-25,294.49999999999994,318.09999999999997,23.600000000000023
2022-05-26,295.5,323.2,27.69999999999999
2022-05-27,295.0,321.70000000000005,26.700000000000045
2022-05-30,295.2,322.0,26.80000000000001
2022-05-31,303.1,333.00000000000006,29.900000000000034
2022-06-02,312.3,342.0,29.69999999999999
2022-06-03,312.5,340.70000000000005,28.200000000000045
2022-06-07,323.49999999999994,354.2,30.700000000000045
2022-06-08,319.7,347.0,27.30000000000001
2022-06-09,317.2,347.50000000000006,30.300000000000068
2022-06-10,327.5,349.0,21.5
2022-06-13,353.0,367.8,14.800000000000011
2022-06-14,355.5,368.5,13.0
2022-06-15,365.5,376.90000000000003,11.400000000000034
2022-06-16,372.5,377.2,4.699999999999989
2022-06-17,375.0,379.5,4.5
2022-06-20,366.80000000000007,378.5,11.699999999999932
2022-06-21,366.0,377.2,11.199999999999989
2022-06-22,352.0,367.5,15.5
2022-06-23,361.0,372.5,11.5
2022-06-24,351.0,362.5,11.5
2022-06-27,356.0,371.2,15.199999999999989
2022-06-28,355.7,368.5,12.800000000000011
2022-06-29,355.7,366.0,10.300000000000011
2022-06-30,355.3,362.09999999999997,6.7999999999999545
2022-07-01,344.0,349.5,5.5
2022-07-04,342.0,347.50000000000006,5.500000000000057
2022-07-05,328.50000000000006,336.5,7.999999999999943
2022-07-06,324.2,330.2,6.0
